DataWereReceived,Name,FullPrice,DiscountedPrice,ArticleNumber,Brand,IsAvailable,Url
true,Унитаз-компакт Sole QUADRO (2 короба) с крышкой Soft-close БЕЗОБОДКОВЫЙ С ФУНКЦИЕЙ БИДЭ,19678,,УТ000041115,Sole,true,https://magbo.ru/catalog/detail/unitaz-kompakt-mirsant-quadro-2-koroba-s-kryshkoy-soft-close-bezobodkovyy-s-funktsiey-bide/
true,Биде Sole TORR напольное,16255,,УТ000041073,Sole,true,https://magbo.ru/catalog/detail/bide-sole-torr-napolnoe/
true,Биде Sole PANDORA 2 подвесное,14604,,УТ000041084,Sole,true,https://magbo.ru/catalog/detail/bide-sole-pandora-2-podvesnoe/
true,Биде Sole CUBE подвесное,14604,,УТ000041083,Sole,true,https://magbo.ru/catalog/detail/bide-sole-cube-podvesnoe/
true,Биде Sole CUBE напольное,17210,,УТ000041074,Sole,true,https://magbo.ru/catalog/detail/bide-sole-cube-napolnoe/
